SerCon 'Callisto CF-IRMS' system
10:07:04	08-12-2016

Data from file : C:\Sercon\Callisto v1014\SERCON_GSL\Results\160812.prn
Un-Drift Corrected
N	Name	Weight/Vol	Beam Area	N (Sam)	15N (Sam)	None (Sam)	Beam Area	C (Sam)	13C (Sam)	18O (Sam)	
 	 	 	 	 ug	DeltaAir	 	 	 ug	DeltaPDB	DeltaPDB	 
 33 	TBR254	 0.7 	 2.41218139213073E-08 	 14.2671751117804 	 0.509454003193626 	 0 	 3.65857813267034E-07 	 343.785448948686 	-24.1575514073478 	-48.0967082541677 	
 34 	TBR242	 0.69 	 3.19076990107359E-08 	 19.0669197917536 	-0.430252006072078 	 0 	 4.38360698296059E-07 	 415.950162317861 	-23.0883653671617 	-48.8425464475166 	
 35 	TM03	 0.7 	 4.47034520303924E-08 	 26.9914501601405 	 0.299189368139618 	 0 	 4.55582325531445E-07 	 436.568674430023 	-22.439999021269 	-49.4356249124395 	
 36 	USGS40	 1.04 	 1.69949194522845E-07 	 103.686808761739 	-4.89204542278708 	 0 	 4.58496117961005E-07 	 443.749399069503 	-26.3690112869011 	-49.0048487657672 	
 37 	TBR243	 0.7 	 4.19521335309758E-08 	 25.8688574440593 	-0.770485790633851 	 0 	 4.45626693434953E-07 	 435.648901591081 	-22.614323467031 	-49.308063067127 	
 38 	USGS40	 0.99 	 3.09234057277452E-07 	 192.713853179471 	-1.60014033904326 	 0 	 5.01525758700438E-07 	 495.293282516335 	-27.1261876116688 	-49.0020596645523 	
 39 	SALANINE	 1.03 	 2.6736185515519E-07 	 168.426740873513 	-1.56407152050603 	 0 	 4.34584997210941E-07 	 433.605569180079 	-27.1852344894102 	-47.8312201234363 	
 40 	ALANINE	 1.13 	 2.7856504275503E-07 	 177.409994648769 	-1.56001661948008 	 0 	 4.5283770755411E-07 	 456.520006989023 	-27.1102450909173 	-47.4063835793421 	
 41 	TM12	 0.64 	 3.78830284121501E-08 	 23.9939259990377 	-0.145871771740986 	 0 	 3.92327005105386E-07 	 393.256681338869 	-23.9909537375001 	-48.1865164641543 	
 42 	TM09	 0.61 	 3.49895405982181E-08 	 22.0386100165684 	 0.342155408025625 	 0 	 3.98196345230417E-07 	 396.870403241207 	-23.7838536079807 	-48.9445332848937 	
